企業名,ホームページ,判明した担当者名,肩書き,判定区分,信頼スコア,出典URL,推奨トーク案
株式会社パロマ,"https://www.pcc-paloma.jp/contact/#:~:text=%E3%81%8A%E9%9B%BB%E8%A9%B1%E3%81%84%E3%81%9F%E3%81%A0%E3%81%8F%E5%89%8D%E3%81%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85&text=%E4%BF%AE%E7%90%86%E3%81%A7%E3%81%8A%E6%80%A5%E3%81%8E%E3%81%AE,%E3%81%BE%E3%81%99%E3%82%88%E3%81%86%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82&text=%E5%8F%97%E4%BB%98%E5%AE%8C%E4%BA%86%E5%BE%8C%E3%80%81%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E6%8B%85%E5%BD%93,%E3%81%AE%E3%81%BB%E3%81%A9%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82",紛失,採用関連担当,要確認候補,10,"https://www.pcc-paloma.jp/contact/#:~:text=%E3%81%8A%E9%9B%BB%E8%A9%B1%E3%81%84%E3%81%9F%E3%81%A0%E3%81%8F%E5%89%8D%E3%81%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85&text=%E4%BF%AE%E7%90%86%E3%81%A7%E3%81%8A%E6%80%A5%E3%81%8E%E3%81%AE,%E3%81%BE%E3%81%99%E3%82%88%E3%81%86%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82&text=%E5%8F%97%E4%BB%98%E5%AE%8C%E4%BA%86%E5%BE%8C%E3%80%81%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E6%8B%85%E5%BD%93,%E3%81%AE%E3%81%BB%E3%81%A9%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82",株式会社パロマ様の採用情報を拝見し、採用関連担当の紛失様にお力添えできる内容がありご連絡しました。
五楽信和工業株式会社,,採用担当者（要確認）,採用窓口,要確認候補,1,,五楽信和工業株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
日本ファインテック株式会社,"https://www.f-finetec.co.jp/#:~:text=%E3%83%95%E3%82%A1%E3%82%A4%E3%83%B3%E3%83%86%E3%83%83%E3%82%AF%E3%81%AF%E4%B8%96%E7%95%8C%E4%B8%80,%E3%82%92%E6%8F%90%E4%BE%9B%E3%81%99%E3%82%8B%E4%BC%81%E6%A5%AD%E3%81%A7%E3%81%99%E3%80%82",採用担当者（要確認）,採用窓口,要確認候補,1,"https://www.f-finetec.co.jp/#:~:text=%E3%83%95%E3%82%A1%E3%82%A4%E3%83%B3%E3%83%86%E3%83%83%E3%82%AF%E3%81%AF%E4%B8%96%E7%95%8C%E4%B8%80,%E3%82%92%E6%8F%90%E4%BE%9B%E3%81%99%E3%82%8B%E4%BC%81%E6%A5%AD%E3%81%A7%E3%81%99%E3%80%82",日本ファインテック株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社錦城,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社錦城様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社森建設,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社森建設様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
指宿食品株式会社,,採用担当者（要確認）,採用窓口,要確認候補,1,,指宿食品株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
社会福祉法人希望の風福祉会,,採用担当者（要確認）,採用窓口,要確認候補,1,,社会福祉法人希望の風福祉会様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社指宿白水館,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社指宿白水館様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社ホンダさつま,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社ホンダさつま様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
薩摩ハム株式会社,,採用担当者（要確認）,採用窓口,要確認候補,1,,薩摩ハム株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社コーアガス日本,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社コーアガス日本様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社新興エコ,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社新興エコ様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社奈良,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社奈良様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社大新,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社大新様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社指宿フェニックスホテル,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社指宿フェニックスホテル様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
井上産業株式会社,,採用担当者（要確認）,採用窓口,要確認候補,1,,井上産業株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
薩摩コンクリート株式会社,,採用担当者（要確認）,採用窓口,要確認候補,1,,薩摩コンクリート株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
薩南建材株式会社,,採用担当者（要確認）,採用窓口,要確認候補,1,,薩南建材株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
社会福祉法人あやの会,,採用担当者（要確認）,採用窓口,要確認候補,1,,社会福祉法人あやの会様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
社会福祉法人光陽福祉会,,採用担当者（要確認）,採用窓口,要確認候補,1,,社会福祉法人光陽福祉会様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
社会福祉法人あすなろ福祉会,,採用担当者（要確認）,採用窓口,要確認候補,1,,社会福祉法人あすなろ福祉会様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
社会福祉法人大川福祉会,,採用担当者（要確認）,採用窓口,要確認候補,1,,社会福祉法人大川福祉会様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
社会福祉法人休道福祉会,,採用担当者（要確認）,採用窓口,要確認候補,1,,社会福祉法人休道福祉会様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
社会福祉法人敬仁会,,採用担当者（要確認）,採用窓口,要確認候補,1,,社会福祉法人敬仁会様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
社会福祉法人敬和会,,採用担当者（要確認）,採用窓口,要確認候補,1,,社会福祉法人敬和会様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
社会福祉法人更生会,,採用担当者（要確認）,採用窓口,要確認候補,1,,社会福祉法人更生会様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
